country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,4.4068,5.2501,4.7874,4.9932,8.5027,5.0199,4.9137,4.9484,5.2681,5.4072,5.7332,5.3495
Belgium,4.5815,4.3458,4.3538,5.0244,4.1729,7.1775,4.9741,5.1022,5.4254,5.9301,6.156,6.5476
Canada,3.4717,3.5245,3.4916,3.5033,3.3991,3.3512,3.3563,,,,,
Czech Republic,7.0847,8.9127,8.5654,11.4527,7.229,6.5162,6.7001,6.5194,6.8311,7.4491,6.5973,6.0119
Denmark,3.3669,3.2217,3.2017,3.1251,3.1096,3.0793,3.005,2.8572,2.8124,3.2539,3.3745,3.4956
Estonia,3.8118,3.6609,3.6804,3.5027,3.941,3.9511,4.5875,4.5129,4.8321,5.2227,4.4054,4.5035
Finland,4.7468,4.5804,4.8961,4.7577,4.7332,4.7323,4.6506,4.3986,4.6507,5.0186,4.8846,4.8336
France,3.6545,3.4954,3.7116,3.5447,3.3942,3.5465,3.4553,3.2708,3.2879,3.8129,3.784,3.4923
Germany,1.8374,4.3789,4.1277,4.0317,3.7692,3.6374,3.3925,3.2403,3.5464,3.8906,4.7655,3.5101
Greece,5.379,4.5693,3.9873,4.328,5.1165,3.5913,4.1813,4.0482,5.362,4.9108,4.0081,3.2235
Hungary,6.4409,5.9704,7.6848,5.6904,5.516,5.5516,6.3548,6.5134,5.8025,5.8216,5.9217,7.2128
Iceland,6.7501,6.9694,6.4356,6.596,6.3167,5.7637,5.9035,5.8125,19.4667,6.2587,7.0018,5.8665
Ireland,3.9571,4.4302,4.1289,4.1298,3.9057,3.7845,4.0761,4.2672,5.9813,7.1589,24.7238,7.7196
Israel,2.9616,2.9801,3.0143,2.9257,2.845,2.439,2.9102,2.7012,2.6914,2.7084,2.601,2.5938
Italy,2.6263,4.3279,4.0989,4.0392,3.8927,3.8236,4.8221,4.0402,3.8797,4.5012,3.7599,3.561
Japan,,,,,,3.8543,3.6648,3.4722,4.1006,4.4833,3.8884,4.1255
Korea,5.0551,5.5717,5.5788,9.2202,5.9822,5.952,6.0926,6.3275,6.6392,7.3249,6.1422,6.0739
Luxembourg,4.1446,2.7522,4.9688,4.7286,4.842,4.4232,4.7105,3.9651,3.9952,4.6949,4.4026,4.2588
Netherlands,4.4454,5.5781,5.5243,5.565,5.2268,4.8443,4.7457,4.8885,5.1319,6.2146,6.0691,5.4687
Norway,4.8606,4.6505,4.7945,4.3313,3.9154,3.795,3.5419,3.5558,3.6265,4.3485,4.3506,4.1916
Poland,,,3.519,3.3891,3.3859,3.879,4.4777,4.6796,4.9872,5.4805,5.8337,5.6307
Portugal,5.0566,5.6102,4.9958,5.1227,5.0558,5.0432,4.2719,4.0069,4.3446,4.4199,4.9005,4.045
Slovak Republic,11.0581,6.6591,6.6893,4.3608,4.3475,3.7577,3.8802,4.1283,5.0571,5.2208,3.5557,3.7483
Slovenia,5.1426,4.4291,4.4393,4.7703,4.3085,3.9497,4.0822,4.0968,4.7763,5.1541,5.2878,5.7876
Spain,4.7412,4.5728,4.6712,4.4261,5.1805,4.8089,4.7881,5.062,5.257,5.6037,5.7329,5.3361
Sweden,3.7102,3.9075,4.1648,4.2302,4.0909,4.2883,4.0691,4.0288,4.3115,4.6636,4.4946,4.2665
Switzerland,,,,,,4.75,4.3302,4.2064,4.1921,4.5331,4.602,4.6452
Turkey,,,,,,,3.2323,3.9826,4.1699,4.6956,4.9884,4.4629
United Kingdom,-0.3827,2.5195,2.6905,2.9148,2.6823,2.876,2.9289,2.8855,4.9074,4.3548,3.0791,2.5419
